Fifty2525,Business Line (group),Business Line,Date Prefix,Revenue Type Note,Adjustments Outcome,No-Adjustments Value,Date,Framework Selection Calculation,Description1,Revenue and Expense Type,Year,Value
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2010,Dedicated Taxes and Subsidies,NYS Operating Support for SAP,Dedicated Taxes and Subsidies,2010,
General Taxpayer Subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",210.3547484,210.3547484,1/1/2010,Dedicated Taxes and Subsidies,Payroll Mobility Tax,Dedicated Taxes and Subsidies,2010,210.3547484
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",112.987462,112.987462,1/1/2010,Dedicated Taxes and Subsidies,Payroll Mobility Tax,Dedicated Taxes and Subsidies,2010,112.987462
General Taxpayer Subsidies,HQ,MTA Headquarters,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",0,0,1/1/2010,Dedicated Taxes and Subsidies,Payroll Mobility Tax,Dedicated Taxes and Subsidies,2010,0
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",1064.25779,1064.25779,1/1/2010,Dedicated Taxes and Subsidies,Payroll Mobility Tax,Dedicated Taxes and Subsidies,2010,1064.25779
General Taxpayer Subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2010,Dedicated Taxes and Subsidies,Payroll Mobility Tax Replacement Funds,Dedicated Taxes and Subsidies,2010,
General Taxpayer Subsidies,Metro-North,Metro-North Railroad,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2010,Dedicated Taxes and Subsidies,Payroll Mobility Tax Replacement Funds,Dedicated Taxes and Subsidies,2010,
Fares and Other Operating Revenue,MTA Bus,MTA Bus Company,,Includes farebox revenue and unused fare media.,167.954,167.954,1/1/2010,Fare Revenue,Farebox Revenue,Fare Revenue,2010,167.954
Fares and Other Operating Revenue,MTA Bus,MTA Bus Company,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",21.625,21.625,1/1/2010,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2010,21.625
General Taxpayer Subsidies,New York City Transit,New York City Transit,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2010,Dedicated Taxes and Subsidies,Payroll Mobility Tax Replacement Funds,Dedicated Taxes and Subsidies,2010,
Fares and Other Operating Revenue,New York City Transit,Staten Island Railway,,Includes farebox revenue and unused fare media.,5.02,5.02,1/1/2010,Fare Revenue,Farebox Revenue,Fare Revenue,2010,5.02
Fares and Other Operating Revenue,New York City Transit,Staten Island Railway,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",2.167,2.167,1/1/2010,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2010,2.167
Motor Vehicle Cross-subsidies,B&T,Bridges and Tunnels,,Includes tolls collected from the MTA's Bridges and Tunnels,589.2862843,589.2862843,1/1/2010,Toll Revenue,"Operating Expense, Debt Service, and Miscellaneous",Toll Revenue,2010,589.2862843
Fares and Other Operating Revenue,B&T,Bridges and Tunnels,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",15.105,15.105,1/1/2011,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2011,15.105
Motor Vehicle Cross-subsidies,B&T,Bridges and Tunnels,,Includes tolls collected from the MTA's Bridges and Tunnels,563.4870576,563.4870576,1/1/2011,Toll Revenue,"Operating Expense, Debt Service, and Miscellaneous",Toll Revenue,2011,563.4870576
Fares and Other Operating Revenue,B&T,Bridges and Tunnels,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",17.679,17.679,1/1/2012,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2012,17.679
Motor Vehicle Cross-subsidies,B&T,Bridges and Tunnels,,Includes tolls collected from the MTA's Bridges and Tunnels,597.141,597.141,1/1/2012,Toll Revenue,"Operating Expense, Debt Service, and Miscellaneous",Toll Revenue,2012,597.141
Fares and Other Operating Revenue,B&T,Bridges and Tunnels,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",22.142,22.142,1/1/2013,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2013,22.142
Motor Vehicle Cross-subsidies,B&T,Bridges and Tunnels,,Includes tolls collected from the MTA's Bridges and Tunnels,638.058,638.058,1/1/2013,Toll Revenue,"Operating Expense, Debt Service, and Miscellaneous",Toll Revenue,2013,638.058
Fares and Other Operating Revenue,B&T,Bridges and Tunnels,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",26.521,26.521,1/1/2014,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2014,26.521
Motor Vehicle Cross-subsidies,B&T,Bridges and Tunnels,,Includes tolls collected from the MTA's Bridges and Tunnels,695.036,695.036,1/1/2014,Toll Revenue,"Operating Expense, Debt Service, and Miscellaneous",Toll Revenue,2014,695.036
Fares and Other Operating Revenue,B&T,Bridges and Tunnels,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",36.172,36.172,1/1/2015,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2015,36.172
Motor Vehicle Cross-subsidies,B&T,Bridges and Tunnels,,Includes tolls collected from the MTA's Bridges and Tunnels,705.809,705.809,1/1/2015,Toll Revenue,"Operating Expense, Debt Service, and Miscellaneous",Toll Revenue,2015,705.809
Fares and Other Operating Revenue,B&T,Bridges and Tunnels,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",25.352,25.352,1/1/2016,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2016,25.352
Motor Vehicle Cross-subsidies,B&T,Bridges and Tunnels,,Includes tolls collected from the MTA's Bridges and Tunnels,769.265,769.265,1/1/2016,Toll Revenue,"Operating Expense, Debt Service, and Miscellaneous",Toll Revenue,2016,769.265
Fares and Other Operating Revenue,B&T,Bridges and Tunnels,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",20.082,20.082,1/1/2017,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2017,20.082
Motor Vehicle Cross-subsidies,B&T,Bridges and Tunnels,,Includes tolls collected from the MTA's Bridges and Tunnels,809.688,809.688,1/1/2017,Toll Revenue,"Operating Expense, Debt Service, and Miscellaneous",Toll Revenue,2017,809.688
Fares and Other Operating Revenue,B&T,Bridges and Tunnels,Mid-year forecast,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",23.921,23.921,1/1/2018,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2018,23.921
Motor Vehicle Cross-subsidies,B&T,Bridges and Tunnels,Mid-year forecast,Includes tolls collected from the MTA's Bridges and Tunnels,892.242,892.242,1/1/2018,Toll Revenue,"Operating Expense, Debt Service, and Miscellaneous",Toll Revenue,2018,892.242
Fares and Other Operating Revenue,B&T,Bridges and Tunnels,Preliminary budget,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",18.936,18.936,1/1/2019,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2019,18.936
Motor Vehicle Cross-subsidies,B&T,Bridges and Tunnels,Preliminary budget,Includes tolls collected from the MTA's Bridges and Tunnels,990.701,990.701,1/1/2019,Toll Revenue,"Operating Expense, Debt Service, and Miscellaneous",Toll Revenue,2019,990.701
Fares and Other Operating Revenue,B&T,Bridges and Tunnels,Projected,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",18.936,18.936,1/1/2020,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2020,18.936
Motor Vehicle Cross-subsidies,B&T,Bridges and Tunnels,Projected,Includes tolls collected from the MTA's Bridges and Tunnels,966.872,966.872,1/1/2020,Toll Revenue,"Operating Expense, Debt Service, and Miscellaneous",Toll Revenue,2020,966.872
Fares and Other Operating Revenue,B&T,Bridges and Tunnels,Projected,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",18.936,18.936,1/1/2021,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2021,18.936
Motor Vehicle Cross-subsidies,B&T,Bridges and Tunnels,Projected,Includes tolls collected from the MTA's Bridges and Tunnels,957.8,957.8,1/1/2021,Toll Revenue,"Operating Expense, Debt Service, and Miscellaneous",Toll Revenue,2021,957.8
Fares and Other Operating Revenue,B&T,Bridges and Tunnels,Projected,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",18.936,18.936,1/1/2022,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2022,18.936
Motor Vehicle Cross-subsidies,B&T,Bridges and Tunnels,Projected,Includes tolls collected from the MTA's Bridges and Tunnels,981.18,981.18,1/1/2022,Toll Revenue,"Operating Expense, Debt Service, and Miscellaneous",Toll Revenue,2022,981.18
Fares and Other Operating Revenue,B&T,Bridges and Tunnels,Projected,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",18.936,18.936,1/1/2023,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2023,18.936
Motor Vehicle Cross-subsidies,B&T,Bridges and Tunnels,Projected,Includes tolls collected from the MTA's Bridges and Tunnels,1036.542839,1036.542839,1/1/2023,Toll Revenue,"Operating Expense, Debt Service, and Miscellaneous",Toll Revenue,2023,1036.542839
Fares and Other Operating Revenue,HQ,First Mutual Transportation Assurance Company,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",22.289,22.289,1/1/2011,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2011,22.289
Fares and Other Operating Revenue,HQ,First Mutual Transportation Assurance Company,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",20.04,20.04,1/1/2012,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2012,20.04
Fares and Other Operating Revenue,HQ,First Mutual Transportation Assurance Company,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",2.846,2.846,1/1/2013,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2013,2.846
Fares and Other Operating Revenue,HQ,First Mutual Transportation Assurance Company,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",16.446,16.446,1/1/2014,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2014,16.446
Fares and Other Operating Revenue,HQ,First Mutual Transportation Assurance Company,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",3.508,3.508,1/1/2015,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2015,3.508
Fares and Other Operating Revenue,HQ,First Mutual Transportation Assurance Company,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",12.803,12.803,1/1/2016,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2016,12.803
Fares and Other Operating Revenue,HQ,First Mutual Transportation Assurance Company,,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",18.155,18.155,1/1/2017,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2017,18.155
Fares and Other Operating Revenue,HQ,First Mutual Transportation Assurance Company,Mid-year forecast,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",12.576,12.576,1/1/2018,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2018,12.576
Fares and Other Operating Revenue,HQ,First Mutual Transportation Assurance Company,Preliminary budget,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",18,18,1/1/2019,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2019,18
Fares and Other Operating Revenue,HQ,First Mutual Transportation Assurance Company,Projected,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",18.36,18.36,1/1/2020,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2020,18.36
Fares and Other Operating Revenue,HQ,First Mutual Transportation Assurance Company,Projected,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",18.771,18.771,1/1/2021,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2021,18.771
Fares and Other Operating Revenue,HQ,First Mutual Transportation Assurance Company,Projected,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",19.22,19.22,1/1/2022,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2022,19.22
Fares and Other Operating Revenue,HQ,First Mutual Transportation Assurance Company,Projected,"Includes reimbursements from New York City for public school student and senior fares and for the provision of paratransit service. Also includes all other operating revenues from rental income, advertising, and other miscellaneous sources.",19.683,19.683,1/1/2023,Other Operating Revenue,Other Operating Revenue,Other Operating Revenue,2023,19.683
General Taxpayer Subsidies,Other,General Reserve,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2011,Dedicated Taxes and Subsidies,Mortgage Recording Tax,Dedicated Taxes and Subsidies,2011,
General Taxpayer Subsidies,Other,General Reserve,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2012,Dedicated Taxes and Subsidies,Mortgage Recording Tax,Dedicated Taxes and Subsidies,2012,
General Taxpayer Subsidies,Other,General Reserve,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2013,Dedicated Taxes and Subsidies,Mortgage Recording Tax,Dedicated Taxes and Subsidies,2013,
General Taxpayer Subsidies,Other,General Reserve,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2014,Dedicated Taxes and Subsidies,Mortgage Recording Tax,Dedicated Taxes and Subsidies,2014,
General Taxpayer Subsidies,Other,General Reserve,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2015,Dedicated Taxes and Subsidies,Mortgage Recording Tax,Dedicated Taxes and Subsidies,2015,
General Taxpayer Subsidies,Other,General Reserve,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2016,Dedicated Taxes and Subsidies,Mortgage Recording Tax,Dedicated Taxes and Subsidies,2016,
General Taxpayer Subsidies,Other,General Reserve,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2017,Dedicated Taxes and Subsidies,Mortgage Recording Tax,Dedicated Taxes and Subsidies,2017,
General Taxpayer Subsidies,Other,General Reserve,Mid-year forecast,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",0,0,1/1/2018,Dedicated Taxes and Subsidies,Mortgage Recording Tax,Dedicated Taxes and Subsidies,2018,0
General Taxpayer Subsidies,Other,General Reserve,Preliminary budget,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",165,165,1/1/2019,Dedicated Taxes and Subsidies,Mortgage Recording Tax,Dedicated Taxes and Subsidies,2019,165
General Taxpayer Subsidies,Other,General Reserve,Projected,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",170,170,1/1/2020,Dedicated Taxes and Subsidies,Mortgage Recording Tax,Dedicated Taxes and Subsidies,2020,170
General Taxpayer Subsidies,Other,General Reserve,Projected,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",175,175,1/1/2021,Dedicated Taxes and Subsidies,Mortgage Recording Tax,Dedicated Taxes and Subsidies,2021,175
General Taxpayer Subsidies,Other,General Reserve,Projected,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",180,180,1/1/2022,Dedicated Taxes and Subsidies,Mortgage Recording Tax,Dedicated Taxes and Subsidies,2022,180
General Taxpayer Subsidies,Other,General Reserve,Projected,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",185,185,1/1/2023,Dedicated Taxes and Subsidies,Mortgage Recording Tax,Dedicated Taxes and Subsidies,2023,185
Motor Vehicle Cross-subsidies,LIRR,Long Island Rail Road,,Includes tolls collected from the MTA's Bridges and Tunnels,182.803437,182.803437,1/1/2010,Toll Revenue,B&T Operating Surplus,Toll Revenue,2010,182.803437
Motor Vehicle Cross-subsidies,LIRR,Long Island Rail Road,,Includes tolls collected from the MTA's Bridges and Tunnels,74.36415687,74.36415687,1/1/2010,Toll Revenue,B&T-Paid Debt Service,Toll Revenue,2010,74.36415687
Fares and Other Operating Revenue,LIRR,Long Island Rail Road,,Includes farebox revenue and unused fare media.,0,0,1/1/2010,Fare Revenue,Fare Increase 2021,Fare Revenue,2010,
Motor Vehicle Cross-subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",58.75573413,58.75573413,1/1/2010,Dedicated Taxes and Subsidies,Petroleum Business Tax Receipts,Dedicated Taxes and Subsidies,2010,58.75573413
General Taxpayer Subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",19.06152036,19.06152036,1/1/2010,Dedicated Taxes and Subsidies,State Operating Assistance,Dedicated Taxes and Subsidies,2010,19.06152036
General Taxpayer Subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",98.88570291,98.88570291,1/1/2010,Dedicated Taxes and Subsidies,Station Maintenance,Dedicated Taxes and Subsidies,2010,98.88570291
Motor Vehicle Cross-subsidies,LIRR,Long Island Rail Road,,Includes tolls collected from the MTA's Bridges and Tunnels,0,0,1/1/2010,Toll Revenue,Toll Increase 2021,Toll Revenue,2010,
General Taxpayer Subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",0,0,1/1/2011,Dedicated Taxes and Subsidies,AMTAP,Dedicated Taxes and Subsidies,2011,0
Motor Vehicle Cross-subsidies,LIRR,Long Island Rail Road,,Includes tolls collected from the MTA's Bridges and Tunnels,212.585035,212.585035,1/1/2011,Toll Revenue,B&T Operating Surplus,Toll Revenue,2011,212.585035
Motor Vehicle Cross-subsidies,LIRR,Long Island Rail Road,,Includes tolls collected from the MTA's Bridges and Tunnels,76.58293273,76.58293273,1/1/2011,Toll Revenue,B&T-Paid Debt Service,Toll Revenue,2011,76.58293273
Fares and Other Operating Revenue,LIRR,Long Island Rail Road,,Includes farebox revenue and unused fare media.,0,0,1/1/2011,Fare Revenue,Fare Increase 2021,Fare Revenue,2011,
Fares and Other Operating Revenue,LIRR,Long Island Rail Road,,Includes farebox revenue and unused fare media.,571.706,571.706,1/1/2011,Fare Revenue,Farebox Revenue,Fare Revenue,2011,571.706
Motor Vehicle Cross-subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",,,1/1/2011,Dedicated Taxes and Subsidies,General Transportation Account,Dedicated Taxes and Subsidies,2011,
General Taxpayer Subsidies,LIRR,Long Island Rail Road,,"Revenues from Dedicated Taxes, Payroll Mobility taxes and MTA Aid, State and City subsidies for the Subway Action Plan, and the NYC Transportation Assistance Fund, as well as State and Local Subsidies. Also includes revenues from funding agreements with New York City for the operation of the MTA Bus Company and Staten Island Railway and with the Connecticut Department of Transportation for the operation of the New Haven Line of the Metro-North Railroad.",0.258866415,0.258866415,1/1/2011,Dedicated Taxes and Subsidies,Investment Income,Dedicated Taxes and Subsidies,2011,0.258866415
