Business Line (group),Business Line,Date Prefix,Adjustments Outcome,No-Adjustments Value,Date,Date (group),Description1,Revenue and Expense Type,Year,Value
B&T,Bridges and Tunnels,,1.362,1.362,1/1/2016, ,Fuel,Non-labor Expense,2016,1.362
B&T,Bridges and Tunnels,,24.918,24.918,1/1/2016, ,Health and Welfare,Labor Expense,2016,24.918
B&T,Bridges and Tunnels,,14.314,14.314,1/1/2016, ,Insurance,Non-labor Expense,2016,14.314
B&T,Bridges and Tunnels,,132.537,132.537,1/1/2016, ,Maintenance and Other Operating Contracts,Non-labor Expense,2016,132.537
B&T,Bridges and Tunnels,,3.808,3.808,1/1/2016, ,Materials and Supplies,Non-labor Expense,2016,3.808
B&T,Bridges and Tunnels,,18.293,18.293,1/1/2016, ,OPEB Current Payment,Labor Expense,2016,18.293
B&T,Bridges and Tunnels,,31.299,31.299,1/1/2016, ,Other Business Expenses,Non-labor Expense,2016,31.299
B&T,Bridges and Tunnels,,20.448,20.448,1/1/2016, ,Other Fringe Benefits,Labor Expense,2016,20.448
B&T,Bridges and Tunnels,,23.626,23.626,1/1/2016, ,Overtime,Labor Expense,2016,23.626
B&T,Bridges and Tunnels,,0,0,1/1/2016, ,Paratransit Service Contracts,Non-labor Expense,2016,0
B&T,Bridges and Tunnels,,120.285,120.285,1/1/2016, ,Payroll,Labor Expense,2016,120.285
B&T,Bridges and Tunnels,,42.546,42.546,1/1/2016, ,Pensions,Labor Expense,2016,42.546
B&T,Bridges and Tunnels,,32.25,32.25,1/1/2016, ,Professional Service Contracts,Non-labor Expense,2016,32.25
B&T,Bridges and Tunnels,,-6.68,-6.68,1/1/2016, ,Reimbursable Overhead,Labor Expense,2016,-6.68
B&T,Bridges and Tunnels,,280.38,280.38,1/1/2016, ,Total B&T Debt Service,Debt Service,2016,280.38
B&T,Bridges and Tunnels,,0,0,1/1/2017, ,Claims,Non-labor Expense,2017,0
B&T,Bridges and Tunnels,,3.683,3.683,1/1/2017, ,Electric Power,Non-labor Expense,2017,3.683
B&T,Bridges and Tunnels,,1.575,1.575,1/1/2017, ,Fuel,Non-labor Expense,2017,1.575
B&T,Bridges and Tunnels,,26.694,26.694,1/1/2017, ,Health and Welfare,Labor Expense,2017,26.694
B&T,Bridges and Tunnels,,12.101,12.101,1/1/2017, ,Insurance,Non-labor Expense,2017,12.101
B&T,Bridges and Tunnels,,149.266,149.266,1/1/2017, ,Maintenance and Other Operating Contracts,Non-labor Expense,2017,149.266
B&T,Bridges and Tunnels,,3.901,3.901,1/1/2017, ,Materials and Supplies,Non-labor Expense,2017,3.901
B&T,Bridges and Tunnels,,20.096,20.096,1/1/2017, ,OPEB Current Payment,Labor Expense,2017,20.096
B&T,Bridges and Tunnels,,34.637,34.637,1/1/2017, ,Other Business Expenses,Non-labor Expense,2017,34.637
B&T,Bridges and Tunnels,,19.54,19.54,1/1/2017, ,Other Fringe Benefits,Labor Expense,2017,19.54
B&T,Bridges and Tunnels,,28.382,28.382,1/1/2017, ,Overtime,Labor Expense,2017,28.382
B&T,Bridges and Tunnels,,0,0,1/1/2017, ,Paratransit Service Contracts,Non-labor Expense,2017,0
B&T,Bridges and Tunnels,,121.438,121.438,1/1/2017, ,Payroll,Labor Expense,2017,121.438
B&T,Bridges and Tunnels,,39.001,39.001,1/1/2017, ,Pensions,Labor Expense,2017,39.001
B&T,Bridges and Tunnels,,36.674,36.674,1/1/2017, ,Professional Service Contracts,Non-labor Expense,2017,36.674
B&T,Bridges and Tunnels,,-6.805,-6.805,1/1/2017, ,Reimbursable Overhead,Labor Expense,2017,-6.805
B&T,Bridges and Tunnels,,298.514,298.514,1/1/2017, ,Total B&T Debt Service,Debt Service,2017,298.514
B&T,Bridges and Tunnels,Mid-year forecast,0,0,1/1/2018, ,Claims,Non-labor Expense,2018,0
B&T,Bridges and Tunnels,Mid-year forecast,4.474,4.474,1/1/2018, ,Electric Power,Non-labor Expense,2018,4.474
B&T,Bridges and Tunnels,Mid-year forecast,1.96,1.96,1/1/2018, ,Fuel,Non-labor Expense,2018,1.96
B&T,Bridges and Tunnels,Mid-year forecast,26.866,26.866,1/1/2018, ,Health and Welfare,Labor Expense,2018,26.866
B&T,Bridges and Tunnels,Mid-year forecast,11.755,11.755,1/1/2018, ,Insurance,Non-labor Expense,2018,11.755
B&T,Bridges and Tunnels,Mid-year forecast,152.519,152.519,1/1/2018, ,Maintenance and Other Operating Contracts,Non-labor Expense,2018,152.519
B&T,Bridges and Tunnels,Mid-year forecast,4.55,4.55,1/1/2018, ,Materials and Supplies,Non-labor Expense,2018,4.55
B&T,Bridges and Tunnels,Mid-year forecast,21.672,21.672,1/1/2018, ,OPEB Current Payment,Labor Expense,2018,21.672
B&T,Bridges and Tunnels,Mid-year forecast,43.273,43.273,1/1/2018, ,Other Business Expenses,Non-labor Expense,2018,43.273
B&T,Bridges and Tunnels,Mid-year forecast,21.175,21.175,1/1/2018, ,Other Fringe Benefits,Labor Expense,2018,21.175
B&T,Bridges and Tunnels,Mid-year forecast,23.676,23.676,1/1/2018, ,Overtime,Labor Expense,2018,23.676
B&T,Bridges and Tunnels,Mid-year forecast,0,0,1/1/2018, ,Paratransit Service Contracts,Non-labor Expense,2018,0
B&T,Bridges and Tunnels,Mid-year forecast,119.588,119.588,1/1/2018, ,Payroll,Labor Expense,2018,119.588
B&T,Bridges and Tunnels,Mid-year forecast,36.465,36.465,1/1/2018, ,Pensions,Labor Expense,2018,36.465
B&T,Bridges and Tunnels,Mid-year forecast,39.62,39.62,1/1/2018, ,Professional Service Contracts,Non-labor Expense,2018,39.62
B&T,Bridges and Tunnels,Mid-year forecast,-6.328,-6.328,1/1/2018, ,Reimbursable Overhead,Labor Expense,2018,-6.328
B&T,Bridges and Tunnels,Mid-year forecast,279.037,279.037,1/1/2018, ,Total B&T Debt Service,Debt Service,2018,279.037
B&T,Bridges and Tunnels,Preliminary budget,0,0,1/1/2019,Projected,Claims,Non-labor Expense,2019,0
B&T,Bridges and Tunnels,Preliminary budget,5.074,5.074,1/1/2019,Projected,Electric Power,Non-labor Expense,2019,5.074
B&T,Bridges and Tunnels,Preliminary budget,1.931,1.931,1/1/2019,Projected,Fuel,Non-labor Expense,2019,1.931
B&T,Bridges and Tunnels,Preliminary budget,30.454,30.454,1/1/2019,Projected,Health and Welfare,Labor Expense,2019,30.454
B&T,Bridges and Tunnels,Preliminary budget,11.254,11.254,1/1/2019,Projected,Insurance,Non-labor Expense,2019,11.254
B&T,Bridges and Tunnels,Preliminary budget,164.785,164.785,1/1/2019,Projected,Maintenance and Other Operating Contracts,Non-labor Expense,2019,164.785
B&T,Bridges and Tunnels,Preliminary budget,3.744,3.744,1/1/2019,Projected,Materials and Supplies,Non-labor Expense,2019,3.744
B&T,Bridges and Tunnels,Preliminary budget,22.999,22.999,1/1/2019,Projected,OPEB Current Payment,Labor Expense,2019,22.999
B&T,Bridges and Tunnels,Preliminary budget,49.432,49.432,1/1/2019,Projected,Other Business Expenses,Non-labor Expense,2019,49.432
B&T,Bridges and Tunnels,Preliminary budget,19.536,19.536,1/1/2019,Projected,Other Fringe Benefits,Labor Expense,2019,19.536
B&T,Bridges and Tunnels,Preliminary budget,27.347,27.347,1/1/2019,Projected,Overtime,Labor Expense,2019,27.347
B&T,Bridges and Tunnels,Preliminary budget,0,0,1/1/2019,Projected,Paratransit Service Contracts,Non-labor Expense,2019,0
B&T,Bridges and Tunnels,Preliminary budget,120.77,120.77,1/1/2019,Projected,Payroll,Labor Expense,2019,120.77
B&T,Bridges and Tunnels,Preliminary budget,46.427,46.427,1/1/2019,Projected,Pensions,Labor Expense,2019,46.427
B&T,Bridges and Tunnels,Preliminary budget,39.533,39.533,1/1/2019,Projected,Professional Service Contracts,Non-labor Expense,2019,39.533
B&T,Bridges and Tunnels,Preliminary budget,-7.72,-7.72,1/1/2019,Projected,Reimbursable Overhead,Labor Expense,2019,-7.72
B&T,Bridges and Tunnels,Preliminary budget,307.856,307.856,1/1/2019,Projected,Total B&T Debt Service,Debt Service,2019,307.856
B&T,Bridges and Tunnels,Projected,0,0,1/1/2020,Projected,Claims,Non-labor Expense,2020,0
B&T,Bridges and Tunnels,Projected,5.209,5.209,1/1/2020,Projected,Electric Power,Non-labor Expense,2020,5.209
B&T,Bridges and Tunnels,Projected,1.95,1.95,1/1/2020,Projected,Fuel,Non-labor Expense,2020,1.95
B&T,Bridges and Tunnels,Projected,32.112,32.112,1/1/2020,Projected,Health and Welfare,Labor Expense,2020,32.112
B&T,Bridges and Tunnels,Projected,11.876,11.876,1/1/2020,Projected,Insurance,Non-labor Expense,2020,11.876
B&T,Bridges and Tunnels,Projected,165.698,165.698,1/1/2020,Projected,Maintenance and Other Operating Contracts,Non-labor Expense,2020,165.698
B&T,Bridges and Tunnels,Projected,3.824,3.824,1/1/2020,Projected,Materials and Supplies,Non-labor Expense,2020,3.824
B&T,Bridges and Tunnels,Projected,24.387,24.387,1/1/2020,Projected,OPEB Current Payment,Labor Expense,2020,24.387
B&T,Bridges and Tunnels,Projected,50.963,50.963,1/1/2020,Projected,Other Business Expenses,Non-labor Expense,2020,50.963
B&T,Bridges and Tunnels,Projected,21.694,21.694,1/1/2020,Projected,Other Fringe Benefits,Labor Expense,2020,21.694
B&T,Bridges and Tunnels,Projected,27.895,27.895,1/1/2020,Projected,Overtime,Labor Expense,2020,27.895
B&T,Bridges and Tunnels,Projected,0,0,1/1/2020,Projected,Paratransit Service Contracts,Non-labor Expense,2020,0
B&T,Bridges and Tunnels,Projected,141.585,141.585,1/1/2020,Projected,Payroll,Labor Expense,2020,141.585
B&T,Bridges and Tunnels,Projected,43.037,43.037,1/1/2020,Projected,Pensions,Labor Expense,2020,43.037
B&T,Bridges and Tunnels,Projected,41.787,41.787,1/1/2020,Projected,Professional Service Contracts,Non-labor Expense,2020,41.787
B&T,Bridges and Tunnels,Projected,-7.874,-7.874,1/1/2020,Projected,Reimbursable Overhead,Labor Expense,2020,-7.874
B&T,Bridges and Tunnels,Projected,344.472,344.472,1/1/2020,Projected,Total B&T Debt Service,Debt Service,2020,344.472
B&T,Bridges and Tunnels,Projected,0,0,1/1/2021,Projected,Claims,Non-labor Expense,2021,0
B&T,Bridges and Tunnels,Projected,5.381,5.381,1/1/2021,Projected,Electric Power,Non-labor Expense,2021,5.381
B&T,Bridges and Tunnels,Projected,1.88,1.88,1/1/2021,Projected,Fuel,Non-labor Expense,2021,1.88
B&T,Bridges and Tunnels,Projected,33.411,33.411,1/1/2021,Projected,Health and Welfare,Labor Expense,2021,33.411
B&T,Bridges and Tunnels,Projected,12.581,12.581,1/1/2021,Projected,Insurance,Non-labor Expense,2021,12.581
B&T,Bridges and Tunnels,Projected,174.234,174.234,1/1/2021,Projected,Maintenance and Other Operating Contracts,Non-labor Expense,2021,174.234
B&T,Bridges and Tunnels,Projected,3.913,3.913,1/1/2021,Projected,Materials and Supplies,Non-labor Expense,2021,3.913
B&T,Bridges and Tunnels,Projected,25.5,25.5,1/1/2021,Projected,OPEB Current Payment,Labor Expense,2021,25.5
B&T,Bridges and Tunnels,Projected,52.252,52.252,1/1/2021,Projected,Other Business Expenses,Non-labor Expense,2021,52.252
B&T,Bridges and Tunnels,Projected,21.879,21.879,1/1/2021,Projected,Other Fringe Benefits,Labor Expense,2021,21.879
B&T,Bridges and Tunnels,Projected,28.455,28.455,1/1/2021,Projected,Overtime,Labor Expense,2021,28.455
B&T,Bridges and Tunnels,Projected,0,0,1/1/2021,Projected,Paratransit Service Contracts,Non-labor Expense,2021,0
B&T,Bridges and Tunnels,Projected,144.013,144.013,1/1/2021,Projected,Payroll,Labor Expense,2021,144.013
B&T,Bridges and Tunnels,Projected,43.644,43.644,1/1/2021,Projected,Pensions,Labor Expense,2021,43.644
B&T,Bridges and Tunnels,Projected,41.864,41.864,1/1/2021,Projected,Professional Service Contracts,Non-labor Expense,2021,41.864
B&T,Bridges and Tunnels,Projected,-8.032,-8.032,1/1/2021,Projected,Reimbursable Overhead,Labor Expense,2021,-8.032
B&T,Bridges and Tunnels,Projected,368.5,368.5,1/1/2021,Projected,Total B&T Debt Service,Debt Service,2021,368.5
B&T,Bridges and Tunnels,Projected,0,0,1/1/2022,Projected,Claims,Non-labor Expense,2022,0
B&T,Bridges and Tunnels,Projected,5.598,5.598,1/1/2022,Projected,Electric Power,Non-labor Expense,2022,5.598
B&T,Bridges and Tunnels,Projected,1.84,1.84,1/1/2022,Projected,Fuel,Non-labor Expense,2022,1.84
B&T,Bridges and Tunnels,Projected,34.916,34.916,1/1/2022,Projected,Health and Welfare,Labor Expense,2022,34.916
B&T,Bridges and Tunnels,Projected,13.194,13.194,1/1/2022,Projected,Insurance,Non-labor Expense,2022,13.194
B&T,Bridges and Tunnels,Projected,184.112,184.112,1/1/2022,Projected,Maintenance and Other Operating Contracts,Non-labor Expense,2022,184.112
B&T,Bridges and Tunnels,Projected,4.008,4.008,1/1/2022,Projected,Materials and Supplies,Non-labor Expense,2022,4.008
B&T,Bridges and Tunnels,Projected,26.783,26.783,1/1/2022,Projected,OPEB Current Payment,Labor Expense,2022,26.783
B&T,Bridges and Tunnels,Projected,52.773,52.773,1/1/2022,Projected,Other Business Expenses,Non-labor Expense,2022,52.773
B&T,Bridges and Tunnels,Projected,23.087,23.087,1/1/2022,Projected,Other Fringe Benefits,Labor Expense,2022,23.087
B&T,Bridges and Tunnels,Projected,29.026,29.026,1/1/2022,Projected,Overtime,Labor Expense,2022,29.026
B&T,Bridges and Tunnels,Projected,0,0,1/1/2022,Projected,Paratransit Service Contracts,Non-labor Expense,2022,0
B&T,Bridges and Tunnels,Projected,146.948,146.948,1/1/2022,Projected,Payroll,Labor Expense,2022,146.948
B&T,Bridges and Tunnels,Projected,40.997,40.997,1/1/2022,Projected,Pensions,Labor Expense,2022,40.997
B&T,Bridges and Tunnels,Projected,43.305,43.305,1/1/2022,Projected,Professional Service Contracts,Non-labor Expense,2022,43.305
B&T,Bridges and Tunnels,Projected,-8.192,-8.192,1/1/2022,Projected,Reimbursable Overhead,Labor Expense,2022,-8.192
B&T,Bridges and Tunnels,Projected,387.713,387.713,1/1/2022,Projected,Total B&T Debt Service,Debt Service,2022,387.713
B&T,Bridges and Tunnels,Projected,0,0,1/1/2023,Projected,Claims,Non-labor Expense,2023,0
B&T,Bridges and Tunnels,Projected,5.947,5.947,1/1/2023,Projected,Electric Power,Non-labor Expense,2023,5.947
B&T,Bridges and Tunnels,Projected,1.872,1.872,1/1/2023,Projected,Fuel,Non-labor Expense,2023,1.872
B&T,Bridges and Tunnels,Projected,36.495,36.495,1/1/2023,Projected,Health and Welfare,Labor Expense,2023,36.495
B&T,Bridges and Tunnels,Projected,13.861,13.861,1/1/2023,Projected,Insurance,Non-labor Expense,2023,13.861
B&T,Bridges and Tunnels,Projected,180.135,180.135,1/1/2023,Projected,Maintenance and Other Operating Contracts,Non-labor Expense,2023,180.135
B&T,Bridges and Tunnels,Projected,4.105,4.105,1/1/2023,Projected,Materials and Supplies,Non-labor Expense,2023,4.105
B&T,Bridges and Tunnels,Projected,27.685,27.685,1/1/2023,Projected,OPEB Current Payment,Labor Expense,2023,27.685
B&T,Bridges and Tunnels,Projected,53.294,53.294,1/1/2023,Projected,Other Business Expenses,Non-labor Expense,2023,53.294
B&T,Bridges and Tunnels,Projected,23.635,23.635,1/1/2023,Projected,Other Fringe Benefits,Labor Expense,2023,23.635
B&T,Bridges and Tunnels,Projected,29.606,29.606,1/1/2023,Projected,Overtime,Labor Expense,2023,29.606
B&T,Bridges and Tunnels,Projected,0,0,1/1/2023,Projected,Paratransit Service Contracts,Non-labor Expense,2023,0
B&T,Bridges and Tunnels,Projected,150.22,150.22,1/1/2023,Projected,Payroll,Labor Expense,2023,150.22
B&T,Bridges and Tunnels,Projected,37.485,37.485,1/1/2023,Projected,Pensions,Labor Expense,2023,37.485
B&T,Bridges and Tunnels,Projected,45.173,45.173,1/1/2023,Projected,Professional Service Contracts,Non-labor Expense,2023,45.173
B&T,Bridges and Tunnels,Projected,-8.356,-8.356,1/1/2023,Projected,Reimbursable Overhead,Labor Expense,2023,-8.356
B&T,Bridges and Tunnels,Projected,439.521,439.521,1/1/2023,Projected,Total B&T Debt Service,Debt Service,2023,439.521
HQ,First Mutual Transportation Assurance Company,,94.673,94.673,1/1/2011, ,Claims,Non-labor Expense,2011,94.673
HQ,First Mutual Transportation Assurance Company,,-95.837,-95.837,1/1/2011, ,Insurance,Non-labor Expense,2011,-95.837
HQ,First Mutual Transportation Assurance Company,,9.57,9.57,1/1/2011, ,Other Business Expenses,Non-labor Expense,2011,9.57
HQ,First Mutual Transportation Assurance Company,,55.473,55.473,1/1/2012, ,Claims,Non-labor Expense,2012,55.473
HQ,First Mutual Transportation Assurance Company,,-82.502,-82.502,1/1/2012, ,Insurance,Non-labor Expense,2012,-82.502
HQ,First Mutual Transportation Assurance Company,,10.836,10.836,1/1/2012, ,Other Business Expenses,Non-labor Expense,2012,10.836
HQ,First Mutual Transportation Assurance Company,,90.81,90.81,1/1/2013, ,Claims,Non-labor Expense,2013,90.81
HQ,First Mutual Transportation Assurance Company,,-74.762,-74.762,1/1/2013, ,Insurance,Non-labor Expense,2013,-74.762
HQ,First Mutual Transportation Assurance Company,,12.061,12.061,1/1/2013, ,Other Business Expenses,Non-labor Expense,2013,12.061
HQ,First Mutual Transportation Assurance Company,,75.943,75.943,1/1/2014, ,Claims,Non-labor Expense,2014,75.943
HQ,First Mutual Transportation Assurance Company,,-84.027,-84.027,1/1/2014, ,Insurance,Non-labor Expense,2014,-84.027
HQ,First Mutual Transportation Assurance Company,,13.03,13.03,1/1/2014, ,Other Business Expenses,Non-labor Expense,2014,13.03
HQ,First Mutual Transportation Assurance Company,,96.507,96.507,1/1/2015, ,Claims,Non-labor Expense,2015,96.507
HQ,First Mutual Transportation Assurance Company,,-80.092,-80.092,1/1/2015, ,Insurance,Non-labor Expense,2015,-80.092
HQ,First Mutual Transportation Assurance Company,,11.454,11.454,1/1/2015, ,Other Business Expenses,Non-labor Expense,2015,11.454
HQ,First Mutual Transportation Assurance Company,,124.134,124.134,1/1/2016, ,Claims,Non-labor Expense,2016,124.134
HQ,First Mutual Transportation Assurance Company,,-162.559,-162.559,1/1/2016, ,Insurance,Non-labor Expense,2016,-162.559
HQ,First Mutual Transportation Assurance Company,,15.465,15.465,1/1/2016, ,Other Business Expenses,Non-labor Expense,2016,15.465
HQ,First Mutual Transportation Assurance Company,,129.228,129.228,1/1/2017, ,Claims,Non-labor Expense,2017,129.228
HQ,First Mutual Transportation Assurance Company,,-133.825,-133.825,1/1/2017, ,Insurance,Non-labor Expense,2017,-133.825
HQ,First Mutual Transportation Assurance Company,,19.141,19.141,1/1/2017, ,Other Business Expenses,Non-labor Expense,2017,19.141
HQ,First Mutual Transportation Assurance Company,Mid-year forecast,126.929,126.929,1/1/2018, ,Claims,Non-labor Expense,2018,126.929
HQ,First Mutual Transportation Assurance Company,Mid-year forecast,-154.268,-154.268,1/1/2018, ,Insurance,Non-labor Expense,2018,-154.268
HQ,First Mutual Transportation Assurance Company,Mid-year forecast,15.314,15.314,1/1/2018, ,Other Business Expenses,Non-labor Expense,2018,15.314
HQ,First Mutual Transportation Assurance Company,Preliminary budget,107.004,107.004,1/1/2019,Projected,Claims,Non-labor Expense,2019,107.004
HQ,First Mutual Transportation Assurance Company,Preliminary budget,-120.75,-120.75,1/1/2019,Projected,Insurance,Non-labor Expense,2019,-120.75
HQ,First Mutual Transportation Assurance Company,Preliminary budget,8,8,1/1/2019,Projected,Other Business Expenses,Non-labor Expense,2019,8
HQ,First Mutual Transportation Assurance Company,Projected,112.914,112.914,1/1/2020,Projected,Claims,Non-labor Expense,2020,112.914
HQ,First Mutual Transportation Assurance Company,Projected,-126.837,-126.837,1/1/2020,Projected,Insurance,Non-labor Expense,2020,-126.837
HQ,First Mutual Transportation Assurance Company,Projected,8.16,8.16,1/1/2020,Projected,Other Business Expenses,Non-labor Expense,2020,8.16
HQ,First Mutual Transportation Assurance Company,Projected,112.691,112.691,1/1/2021,Projected,Claims,Non-labor Expense,2021,112.691
HQ,First Mutual Transportation Assurance Company,Projected,-135.936,-135.936,1/1/2021,Projected,Insurance,Non-labor Expense,2021,-135.936
HQ,First Mutual Transportation Assurance Company,Projected,8.323,8.323,1/1/2021,Projected,Other Business Expenses,Non-labor Expense,2021,8.323
HQ,First Mutual Transportation Assurance Company,Projected,116.447,116.447,1/1/2022,Projected,Claims,Non-labor Expense,2022,116.447
HQ,First Mutual Transportation Assurance Company,Projected,-148.215,-148.215,1/1/2022,Projected,Insurance,Non-labor Expense,2022,-148.215
HQ,First Mutual Transportation Assurance Company,Projected,8.49,8.49,1/1/2022,Projected,Other Business Expenses,Non-labor Expense,2022,8.49
HQ,First Mutual Transportation Assurance Company,Projected,119.118,119.118,1/1/2023,Projected,Claims,Non-labor Expense,2023,119.118
HQ,First Mutual Transportation Assurance Company,Projected,-163.935,-163.935,1/1/2023,Projected,Insurance,Non-labor Expense,2023,-163.935
HQ,First Mutual Transportation Assurance Company,Projected,8.659,8.659,1/1/2023,Projected,Other Business Expenses,Non-labor Expense,2023,8.659
Other,General Reserve,,0,0,1/1/2010, ,General Reserve,Other Expense Adjustments,2010,0
Other,General Reserve,,0,0,1/1/2011, ,General Reserve,Other Expense Adjustments,2011,0
Other,General Reserve,,0,0,1/1/2012, ,General Reserve,Other Expense Adjustments,2012,0
Other,General Reserve,,0,0,1/1/2013, ,General Reserve,Other Expense Adjustments,2013,0
Other,General Reserve,,0,0,1/1/2014, ,General Reserve,Other Expense Adjustments,2014,0
Other,General Reserve,,0,0,1/1/2015, ,General Reserve,Other Expense Adjustments,2015,0
Other,General Reserve,,0,0,1/1/2016, ,General Reserve,Other Expense Adjustments,2016,0
Other,General Reserve,,0,0,1/1/2017, ,General Reserve,Other Expense Adjustments,2017,0
Other,General Reserve,Mid-year forecast,0,0,1/1/2018, ,General Reserve,Other Expense Adjustments,2018,0
Other,General Reserve,Preliminary budget,165,165,1/1/2019,Projected,General Reserve,Other Expense Adjustments,2019,165
Other,General Reserve,Projected,170,170,1/1/2020,Projected,General Reserve,Other Expense Adjustments,2020,170
Other,General Reserve,Projected,175,175,1/1/2021,Projected,General Reserve,Other Expense Adjustments,2021,175
Other,General Reserve,Projected,180,180,1/1/2022,Projected,General Reserve,Other Expense Adjustments,2022,180
Other,General Reserve,Projected,185,185,1/1/2023,Projected,General Reserve,Other Expense Adjustments,2023,185
LIRR,Long Island Rail Road,,321.5034873,321.5034873,1/1/2010, ,Total CRR Debt Service,Debt Service,2010,321.5034873
LIRR,Long Island Rail Road,,1.628,1.628,1/1/2011, ,Claims,Non-labor Expense,2011,1.628
LIRR,Long Island Rail Road,,90.897,90.897,1/1/2011, ,Electric Power,Non-labor Expense,2011,90.897
LIRR,Long Island Rail Road,,26.139,26.139,1/1/2011, ,Fuel,Non-labor Expense,2011,26.139
LIRR,Long Island Rail Road,,83.356,83.356,1/1/2011, ,Health and Welfare,Labor Expense,2011,83.356
LIRR,Long Island Rail Road,,14.869,14.869,1/1/2011, ,Insurance,Non-labor Expense,2011,14.869
LIRR,Long Island Rail Road,,52.635,52.635,1/1/2011, ,Maintenance and Other Operating Contracts,Non-labor Expense,2011,52.635
LIRR,Long Island Rail Road,,67.022,67.022,1/1/2011, ,Materials and Supplies,Non-labor Expense,2011,67.022
LIRR,Long Island Rail Road,,54.292,54.292,1/1/2011, ,OPEB Current Payment,Labor Expense,2011,54.292
LIRR,Long Island Rail Road,,11.008,11.008,1/1/2011, ,Other Business Expenses,Non-labor Expense,2011,11.008
LIRR,Long Island Rail Road,,96.138,96.138,1/1/2011, ,Other Fringe Benefits,Labor Expense,2011,96.138
LIRR,Long Island Rail Road,,84.707,84.707,1/1/2011, ,Overtime,Labor Expense,2011,84.707
LIRR,Long Island Rail Road,,409.228,409.228,1/1/2011, ,Payroll,Labor Expense,2011,409.228
LIRR,Long Island Rail Road,,142.163,142.163,1/1/2011, ,Pensions,Labor Expense,2011,142.163
LIRR,Long Island Rail Road,,23.885,23.885,1/1/2011, ,Professional Service Contracts,Non-labor Expense,2011,23.885
LIRR,Long Island Rail Road,,-23.305,-23.305,1/1/2011, ,Reimbursable Overhead,Labor Expense,2011,-23.305
LIRR,Long Island Rail Road,,352.3513834,352.3513834,1/1/2011, ,Total CRR Debt Service,Debt Service,2011,352.3513834
LIRR,Long Island Rail Road,,5.665,5.665,1/1/2012, ,Claims,Non-labor Expense,2012,5.665
LIRR,Long Island Rail Road,,89.144,89.144,1/1/2012, ,Electric Power,Non-labor Expense,2012,89.144
LIRR,Long Island Rail Road,,26.374,26.374,1/1/2012, ,Fuel,Non-labor Expense,2012,26.374
LIRR,Long Island Rail Road,,85.795,85.795,1/1/2012, ,Health and Welfare,Labor Expense,2012,85.795
LIRR,Long Island Rail Road,,15.617,15.617,1/1/2012, ,Insurance,Non-labor Expense,2012,15.617
LIRR,Long Island Rail Road,,53.026,53.026,1/1/2012, ,Maintenance and Other Operating Contracts,Non-labor Expense,2012,53.026
LIRR,Long Island Rail Road,,88.365,88.365,1/1/2012, ,Materials and Supplies,Non-labor Expense,2012,88.365
LIRR,Long Island Rail Road,,54.845,54.845,1/1/2012, ,OPEB Current Payment,Labor Expense,2012,54.845
LIRR,Long Island Rail Road,,34.465,34.465,1/1/2012, ,Other Business Expenses,Non-labor Expense,2012,34.465
LIRR,Long Island Rail Road,,98.779,98.779,1/1/2012, ,Other Fringe Benefits,Labor Expense,2012,98.779
LIRR,Long Island Rail Road,,90.276,90.276,1/1/2012, ,Overtime,Labor Expense,2012,90.276
LIRR,Long Island Rail Road,,407.904,407.904,1/1/2012, ,Payroll,Labor Expense,2012,407.904
LIRR,Long Island Rail Road,,164.459,164.459,1/1/2012, ,Pensions,Labor Expense,2012,164.459
LIRR,Long Island Rail Road,,30.497,30.497,1/1/2012, ,Professional Service Contracts,Non-labor Expense,2012,30.497
LIRR,Long Island Rail Road,,-22.511,-22.511,1/1/2012, ,Reimbursable Overhead,Labor Expense,2012,-22.511
LIRR,Long Island Rail Road,,385.6110373,385.6110373,1/1/2012, ,Total CRR Debt Service,Debt Service,2012,385.6110373
LIRR,Long Island Rail Road,,5.569,5.569,1/1/2013, ,Claims,Non-labor Expense,2013,5.569
LIRR,Long Island Rail Road,,99.63,99.63,1/1/2013, ,Electric Power,Non-labor Expense,2013,99.63
LIRR,Long Island Rail Road,,28.61,28.61,1/1/2013, ,Fuel,Non-labor Expense,2013,28.61
LIRR,Long Island Rail Road,,92.601,92.601,1/1/2013, ,Health and Welfare,Labor Expense,2013,92.601
LIRR,Long Island Rail Road,,20.038,20.038,1/1/2013, ,Insurance,Non-labor Expense,2013,20.038
LIRR,Long Island Rail Road,,50.891,50.891,1/1/2013, ,Maintenance and Other Operating Contracts,Non-labor Expense,2013,50.891
LIRR,Long Island Rail Road,,96.339,96.339,1/1/2013, ,Materials and Supplies,Non-labor Expense,2013,96.339
LIRR,Long Island Rail Road,,81.978,81.978,1/1/2013, ,OPEB Current Payment,Labor Expense,2013,81.978
LIRR,Long Island Rail Road,,13.214,13.214,1/1/2013, ,Other Business Expenses,Non-labor Expense,2013,13.214
LIRR,Long Island Rail Road,,113.174,113.174,1/1/2013, ,Other Fringe Benefits,Labor Expense,2013,113.174
LIRR,Long Island Rail Road,,92.924,92.924,1/1/2013, ,Overtime,Labor Expense,2013,92.924
LIRR,Long Island Rail Road,,429.086,429.086,1/1/2013, ,Payroll,Labor Expense,2013,429.086
LIRR,Long Island Rail Road,,178.457,178.457,1/1/2013, ,Pensions,Labor Expense,2013,178.457
LIRR,Long Island Rail Road,,28.274,28.274,1/1/2013, ,Professional Service Contracts,Non-labor Expense,2013,28.274
