Business Line (group),Business Line,Date Prefix,Expense Type Note,Adjustments Outcome,No-Adjustments Value,Date,Description1,Revenue and Expense Type,Year,Value
New York City Transit,New York City Transit,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",756.617,756.617,1/1/2009,Pensions,Labor Expense,2009,756.617
New York City Transit,New York City Transit,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",281.037,281.037,1/1/2009,Other Fringe Benefits,Labor Expense,2009,281.037
New York City Transit,New York City Transit,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",-213.011,-213.011,1/1/2009,Reimbursable Overhead,Labor Expense,2009,-213.011
New York City Transit,New York City Transit,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",176.878,176.878,1/1/2009,Electric Power,Non-labor Expense,2009,176.878
New York City Transit,New York City Transit,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",118.921,118.921,1/1/2009,Fuel,Non-labor Expense,2009,118.921
New York City Transit,New York City Transit,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",53.869,53.869,1/1/2009,Insurance,Non-labor Expense,2009,53.869
New York City Transit,New York City Transit,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",114.105,114.105,1/1/2009,Claims,Non-labor Expense,2009,114.105
New York City Transit,New York City Transit,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",370.094,370.094,1/1/2009,Paratransit Service Contracts,Non-labor Expense,2009,370.094
New York City Transit,New York City Transit,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",212.724,212.724,1/1/2009,Maintenance and Other Operating Contracts,Non-labor Expense,2009,212.724
New York City Transit,New York City Transit,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",99.298,99.298,1/1/2009,Professional Service Contracts,Non-labor Expense,2009,99.298
New York City Transit,New York City Transit,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",299.213,299.213,1/1/2009,Materials and Supplies,Non-labor Expense,2009,299.213
New York City Transit,New York City Transit,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",53.972,53.972,1/1/2009,Other Business Expenses,Non-labor Expense,2009,53.972
MTA Bus,MTA Bus Company,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",196.974,196.974,1/1/2009,Payroll,Labor Expense,2009,196.974
MTA Bus,MTA Bus Company,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",53.812,53.812,1/1/2009,Overtime,Labor Expense,2009,53.812
MTA Bus,MTA Bus Company,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",27.071,27.071,1/1/2009,Health and Welfare,Labor Expense,2009,27.071
MTA Bus,MTA Bus Company,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",12.36,12.36,1/1/2009,OPEB Current Payment,Labor Expense,2009,12.36
MTA Bus,MTA Bus Company,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",29.174,29.174,1/1/2009,Pensions,Labor Expense,2009,29.174
MTA Bus,MTA Bus Company,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",19.626,19.626,1/1/2009,Other Fringe Benefits,Labor Expense,2009,19.626
MTA Bus,MTA Bus Company,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",0,0,1/1/2009,Reimbursable Overhead,Labor Expense,2009,0
MTA Bus,MTA Bus Company,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0,0,1/1/2009,Electric Power,Non-labor Expense,2009,0
MTA Bus,MTA Bus Company,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",28.634,28.634,1/1/2009,Fuel,Non-labor Expense,2009,28.634
MTA Bus,MTA Bus Company,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",14.012,14.012,1/1/2009,Insurance,Non-labor Expense,2009,14.012
MTA Bus,MTA Bus Company,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",25.3,25.3,1/1/2009,Claims,Non-labor Expense,2009,25.3
MTA Bus,MTA Bus Company,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0,0,1/1/2009,Paratransit Service Contracts,Non-labor Expense,2009,0
MTA Bus,MTA Bus Company,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",21.769,21.769,1/1/2009,Maintenance and Other Operating Contracts,Non-labor Expense,2009,21.769
MTA Bus,MTA Bus Company,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",3.299,3.299,1/1/2009,Professional Service Contracts,Non-labor Expense,2009,3.299
MTA Bus,MTA Bus Company,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",22.878,22.878,1/1/2009,Materials and Supplies,Non-labor Expense,2009,22.878
MTA Bus,MTA Bus Company,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",3.063,3.063,1/1/2009,Other Business Expenses,Non-labor Expense,2009,3.063
New York City Transit,Staten Island Railway,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",14.587,14.587,1/1/2009,Payroll,Labor Expense,2009,14.587
New York City Transit,Staten Island Railway,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",1.076,1.076,1/1/2009,Overtime,Labor Expense,2009,1.076
New York City Transit,Staten Island Railway,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",2.958,2.958,1/1/2009,Health and Welfare,Labor Expense,2009,2.958
New York City Transit,Staten Island Railway,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",0.508,0.508,1/1/2009,OPEB Current Payment,Labor Expense,2009,0.508
New York City Transit,Staten Island Railway,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",3.677,3.677,1/1/2009,Pensions,Labor Expense,2009,3.677
New York City Transit,Staten Island Railway,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",1.321,1.321,1/1/2009,Other Fringe Benefits,Labor Expense,2009,1.321
New York City Transit,Staten Island Railway,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",0,0,1/1/2009,Reimbursable Overhead,Labor Expense,2009,0
New York City Transit,Staten Island Railway,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",2.679,2.679,1/1/2009,Electric Power,Non-labor Expense,2009,2.679
New York City Transit,Staten Island Railway,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0,0,1/1/2009,Fuel,Non-labor Expense,2009,0
New York City Transit,Staten Island Railway,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0.269,0.269,1/1/2009,Insurance,Non-labor Expense,2009,0.269
New York City Transit,Staten Island Railway,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",4.74,4.74,1/1/2009,Claims,Non-labor Expense,2009,4.74
New York City Transit,Staten Island Railway,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0,0,1/1/2009,Paratransit Service Contracts,Non-labor Expense,2009,0
New York City Transit,Staten Island Railway,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",12.126,12.126,1/1/2009,Maintenance and Other Operating Contracts,Non-labor Expense,2009,12.126
New York City Transit,Staten Island Railway,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0.394,0.394,1/1/2009,Professional Service Contracts,Non-labor Expense,2009,0.394
New York City Transit,Staten Island Railway,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",1.063,1.063,1/1/2009,Materials and Supplies,Non-labor Expense,2009,1.063
New York City Transit,Staten Island Railway,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0,0,1/1/2009,Other Business Expenses,Non-labor Expense,2009,0
MTA Bus,MTA Bus Company,,"All debt is assumed to be issued as 30-year level debt service debt with principal amortized over the life of the bonds with the exception of Railroad Rehabilitation and Improvement Financing loan, which is amortized over 20 years on a level debt service basis. ",14.07,14.07,1/1/2009,Total MTA Bus Debt Service,Debt Service,2009,14.07
LIRR,Long Island Rail Road,,"All debt is assumed to be issued as 30-year level debt service debt with principal amortized over the life of the bonds with the exception of Railroad Rehabilitation and Improvement Financing loan, which is amortized over 20 years on a level debt service basis. ",249.5298358,249.5298358,1/1/2009,Total CRR Debt Service,Debt Service,2009,249.5298358
Metro-North,Metro-North Railroad,,"All debt is assumed to be issued as 30-year level debt service debt with principal amortized over the life of the bonds with the exception of Railroad Rehabilitation and Improvement Financing loan, which is amortized over 20 years on a level debt service basis. ",162.3871642,162.3871642,1/1/2009,Total CRR Debt Service,Debt Service,2009,162.3871642
New York City Transit,New York City Transit,,"All debt is assumed to be issued as 30-year level debt service debt with principal amortized over the life of the bonds with the exception of Railroad Rehabilitation and Improvement Financing loan, which is amortized over 20 years on a level debt service basis. ",810.031,810.031,1/1/2009,Total NYCT Debt Service,Debt Service,2009,810.031
New York City Transit,Staten Island Railway,,"All debt is assumed to be issued as 30-year level debt service debt with principal amortized over the life of the bonds with the exception of Railroad Rehabilitation and Improvement Financing loan, which is amortized over 20 years on a level debt service basis. ",0,0,1/1/2009,Total SIRTOA Debt Service,Debt Service,2009,0
HQ,MTA Headquarters,,"All debt is assumed to be issued as 30-year level debt service debt with principal amortized over the life of the bonds with the exception of Railroad Rehabilitation and Improvement Financing loan, which is amortized over 20 years on a level debt service basis. ",3.176,3.176,1/1/2009,Total MTA HQ Debt Service for 2 Broadway Certificates of Participation,Debt Service,2009,3.176
B&T,Bridges and Tunnels,,"All debt is assumed to be issued as 30-year level debt service debt with principal amortized over the life of the bonds with the exception of Railroad Rehabilitation and Improvement Financing loan, which is amortized over 20 years on a level debt service basis. ",165.258,165.258,1/1/2009,Total B&T Debt Service,Debt Service,2009,165.258
Other,Unassigned,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",0,0,1/1/2009,Pensions Offset,Labor Expense,2009,0
Other,Unassigned,,"All debt is assumed to be issued as 30-year level debt service debt with principal amortized over the life of the bonds with the exception of Railroad Rehabilitation and Improvement Financing loan, which is amortized over 20 years on a level debt service basis. ",0,0,1/1/2009,BAB Subsidy,Debt Service,2009,0
B&T,Bridges and Tunnels,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",122.138,122.138,1/1/2010,Payroll,Labor Expense,2010,122.138
B&T,Bridges and Tunnels,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",18.456,18.456,1/1/2010,Overtime,Labor Expense,2010,18.456
B&T,Bridges and Tunnels,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",19.553,19.553,1/1/2010,Health and Welfare,Labor Expense,2010,19.553
B&T,Bridges and Tunnels,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",12.308,12.308,1/1/2010,OPEB Current Payment,Labor Expense,2010,12.308
B&T,Bridges and Tunnels,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",24.49,24.49,1/1/2010,Pensions,Labor Expense,2010,24.49
B&T,Bridges and Tunnels,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",18.618,18.618,1/1/2010,Other Fringe Benefits,Labor Expense,2010,18.618
B&T,Bridges and Tunnels,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",-6.064,-6.064,1/1/2010,Reimbursable Overhead,Labor Expense,2010,-6.064
B&T,Bridges and Tunnels,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0,0,1/1/2010,Electric Power,Non-labor Expense,2010,0
B&T,Bridges and Tunnels,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0,0,1/1/2010,Fuel,Non-labor Expense,2010,0
B&T,Bridges and Tunnels,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",6.514,6.514,1/1/2010,Insurance,Non-labor Expense,2010,6.514
B&T,Bridges and Tunnels,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0,0,1/1/2010,Claims,Non-labor Expense,2010,0
B&T,Bridges and Tunnels,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0,0,1/1/2010,Paratransit Service Contracts,Non-labor Expense,2010,0
B&T,Bridges and Tunnels,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",122.395,122.395,1/1/2010,Maintenance and Other Operating Contracts,Non-labor Expense,2010,122.395
B&T,Bridges and Tunnels,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",11.785,11.785,1/1/2010,Professional Service Contracts,Non-labor Expense,2010,11.785
B&T,Bridges and Tunnels,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",29.845,29.845,1/1/2010,Materials and Supplies,Non-labor Expense,2010,29.845
B&T,Bridges and Tunnels,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",3.172,3.172,1/1/2010,Other Business Expenses,Non-labor Expense,2010,3.172
LIRR,Long Island Rail Road,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",419.86,419.86,1/1/2010,Payroll,Labor Expense,2010,419.86
LIRR,Long Island Rail Road,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",79.507,79.507,1/1/2010,Overtime,Labor Expense,2010,79.507
LIRR,Long Island Rail Road,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",75.366,75.366,1/1/2010,Health and Welfare,Labor Expense,2010,75.366
LIRR,Long Island Rail Road,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",48.116,48.116,1/1/2010,OPEB Current Payment,Labor Expense,2010,48.116
LIRR,Long Island Rail Road,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",139.513,139.513,1/1/2010,Pensions,Labor Expense,2010,139.513
LIRR,Long Island Rail Road,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",90.19,90.19,1/1/2010,Other Fringe Benefits,Labor Expense,2010,90.19
LIRR,Long Island Rail Road,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",-26.597,-26.597,1/1/2010,Reimbursable Overhead,Labor Expense,2010,-26.597
LIRR,Long Island Rail Road,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",79.999,79.999,1/1/2010,Electric Power,Non-labor Expense,2010,79.999
LIRR,Long Island Rail Road,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",17.219,17.219,1/1/2010,Fuel,Non-labor Expense,2010,17.219
LIRR,Long Island Rail Road,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",14.745,14.745,1/1/2010,Insurance,Non-labor Expense,2010,14.745
LIRR,Long Island Rail Road,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",10.29,10.29,1/1/2010,Claims,Non-labor Expense,2010,10.29
LIRR,Long Island Rail Road,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",64.263,64.263,1/1/2010,Maintenance and Other Operating Contracts,Non-labor Expense,2010,64.263
LIRR,Long Island Rail Road,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",17.086,17.086,1/1/2010,Professional Service Contracts,Non-labor Expense,2010,17.086
LIRR,Long Island Rail Road,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",91.974,91.974,1/1/2010,Materials and Supplies,Non-labor Expense,2010,91.974
LIRR,Long Island Rail Road,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",9.348,9.348,1/1/2010,Other Business Expenses,Non-labor Expense,2010,9.348
Metro-North,Metro-North Railroad,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",386.24,386.24,1/1/2010,Payroll,Labor Expense,2010,386.24
Metro-North,Metro-North Railroad,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",54.682,54.682,1/1/2010,Overtime,Labor Expense,2010,54.682
Metro-North,Metro-North Railroad,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",71.226,71.226,1/1/2010,Health and Welfare,Labor Expense,2010,71.226
Metro-North,Metro-North Railroad,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",13.002,13.002,1/1/2010,OPEB Current Payment,Labor Expense,2010,13.002
Metro-North,Metro-North Railroad,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",47.669,47.669,1/1/2010,Pensions,Labor Expense,2010,47.669
Metro-North,Metro-North Railroad,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",79.345,79.345,1/1/2010,Other Fringe Benefits,Labor Expense,2010,79.345
Metro-North,Metro-North Railroad,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",-35.009,-35.009,1/1/2010,Reimbursable Overhead,Labor Expense,2010,-35.009
Metro-North,Metro-North Railroad,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",61.853,61.853,1/1/2010,Electric Power,Non-labor Expense,2010,61.853
Metro-North,Metro-North Railroad,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",15.891,15.891,1/1/2010,Fuel,Non-labor Expense,2010,15.891
Metro-North,Metro-North Railroad,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",10.575,10.575,1/1/2010,Insurance,Non-labor Expense,2010,10.575
Metro-North,Metro-North Railroad,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",7.235,7.235,1/1/2010,Claims,Non-labor Expense,2010,7.235
Metro-North,Metro-North Railroad,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",88.006,88.006,1/1/2010,Maintenance and Other Operating Contracts,Non-labor Expense,2010,88.006
Metro-North,Metro-North Railroad,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",27.931,27.931,1/1/2010,Professional Service Contracts,Non-labor Expense,2010,27.931
Metro-North,Metro-North Railroad,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",78.201,78.201,1/1/2010,Materials and Supplies,Non-labor Expense,2010,78.201
Metro-North,Metro-North Railroad,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",13.594,13.594,1/1/2010,Other Business Expenses,Non-labor Expense,2010,13.594
HQ,MTA Headquarters,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",124.305,124.305,1/1/2010,Payroll,Labor Expense,2010,124.305
HQ,MTA Headquarters,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",7.093,7.093,1/1/2010,Overtime,Labor Expense,2010,7.093
HQ,MTA Headquarters,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",16.894,16.894,1/1/2010,Health and Welfare,Labor Expense,2010,16.894
HQ,MTA Headquarters,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",3.091,3.091,1/1/2010,OPEB Current Payment,Labor Expense,2010,3.091
HQ,MTA Headquarters,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",25.278,25.278,1/1/2010,Pensions,Labor Expense,2010,25.278
HQ,MTA Headquarters,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",11.98,11.98,1/1/2010,Other Fringe Benefits,Labor Expense,2010,11.98
HQ,MTA Headquarters,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",-46.238,-46.238,1/1/2010,Reimbursable Overhead,Labor Expense,2010,-46.238
HQ,MTA Headquarters,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0,0,1/1/2010,Electric Power,Non-labor Expense,2010,0
HQ,MTA Headquarters,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0,0,1/1/2010,Fuel,Non-labor Expense,2010,0
HQ,MTA Headquarters,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",5.878,5.878,1/1/2010,Insurance,Non-labor Expense,2010,5.878
HQ,MTA Headquarters,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0,0,1/1/2010,Claims,Non-labor Expense,2010,0
HQ,MTA Headquarters,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0,0,1/1/2010,Paratransit Service Contracts,Non-labor Expense,2010,0
HQ,MTA Headquarters,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",26.245,26.245,1/1/2010,Maintenance and Other Operating Contracts,Non-labor Expense,2010,26.245
HQ,MTA Headquarters,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",33.769,33.769,1/1/2010,Professional Service Contracts,Non-labor Expense,2010,33.769
HQ,MTA Headquarters,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",7.024,7.024,1/1/2010,Materials and Supplies,Non-labor Expense,2010,7.024
HQ,MTA Headquarters,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",92.635,92.635,1/1/2010,Other Business Expenses,Non-labor Expense,2010,92.635
HQ,First Mutual Transportation Assurance Company,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",-98.584,-98.584,1/1/2010,Insurance,Non-labor Expense,2010,-98.584
HQ,First Mutual Transportation Assurance Company,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",90.159,90.159,1/1/2010,Claims,Non-labor Expense,2010,90.159
HQ,First Mutual Transportation Assurance Company,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",9.361,9.361,1/1/2010,Other Business Expenses,Non-labor Expense,2010,9.361
New York City Transit,New York City Transit,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",2827.36,2827.36,1/1/2010,Payroll,Labor Expense,2010,2827.36
New York City Transit,New York City Transit,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",224.273,224.273,1/1/2010,Overtime,Labor Expense,2010,224.273
New York City Transit,New York City Transit,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",500.749,500.749,1/1/2010,Health and Welfare,Labor Expense,2010,500.749
New York City Transit,New York City Transit,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",265.361,265.361,1/1/2010,OPEB Current Payment,Labor Expense,2010,265.361
New York City Transit,New York City Transit,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",749.179,749.179,1/1/2010,Pensions,Labor Expense,2010,749.179
New York City Transit,New York City Transit,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",304.01,304.01,1/1/2010,Other Fringe Benefits,Labor Expense,2010,304.01
New York City Transit,New York City Transit,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",-231.009,-231.009,1/1/2010,Reimbursable Overhead,Labor Expense,2010,-231.009
New York City Transit,New York City Transit,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",180.342,180.342,1/1/2010,Electric Power,Non-labor Expense,2010,180.342
New York City Transit,New York City Transit,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",121.202,121.202,1/1/2010,Fuel,Non-labor Expense,2010,121.202
New York City Transit,New York City Transit,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",56.362,56.362,1/1/2010,Insurance,Non-labor Expense,2010,56.362
New York City Transit,New York City Transit,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",125.632,125.632,1/1/2010,Claims,Non-labor Expense,2010,125.632
New York City Transit,New York City Transit,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",379.761,379.761,1/1/2010,Paratransit Service Contracts,Non-labor Expense,2010,379.761
New York City Transit,New York City Transit,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",208.183,208.183,1/1/2010,Maintenance and Other Operating Contracts,Non-labor Expense,2010,208.183
New York City Transit,New York City Transit,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",106.924,106.924,1/1/2010,Professional Service Contracts,Non-labor Expense,2010,106.924
New York City Transit,New York City Transit,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",276.434,276.434,1/1/2010,Materials and Supplies,Non-labor Expense,2010,276.434
New York City Transit,New York City Transit,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",59.162,59.162,1/1/2010,Other Business Expenses,Non-labor Expense,2010,59.162
MTA Bus,MTA Bus Company,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",212.615,212.615,1/1/2010,Payroll,Labor Expense,2010,212.615
MTA Bus,MTA Bus Company,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",48.069,48.069,1/1/2010,Overtime,Labor Expense,2010,48.069
MTA Bus,MTA Bus Company,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",40.639,40.639,1/1/2010,Health and Welfare,Labor Expense,2010,40.639
MTA Bus,MTA Bus Company,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",12.576,12.576,1/1/2010,OPEB Current Payment,Labor Expense,2010,12.576
MTA Bus,MTA Bus Company,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",32.835,32.835,1/1/2010,Pensions,Labor Expense,2010,32.835
MTA Bus,MTA Bus Company,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",20.452,20.452,1/1/2010,Other Fringe Benefits,Labor Expense,2010,20.452
MTA Bus,MTA Bus Company,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",-0.237,-0.237,1/1/2010,Reimbursable Overhead,Labor Expense,2010,-0.237
MTA Bus,MTA Bus Company,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0,0,1/1/2010,Electric Power,Non-labor Expense,2010,0
MTA Bus,MTA Bus Company,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",27.106,27.106,1/1/2010,Fuel,Non-labor Expense,2010,27.106
MTA Bus,MTA Bus Company,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",13.552,13.552,1/1/2010,Insurance,Non-labor Expense,2010,13.552
MTA Bus,MTA Bus Company,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",45.335,45.335,1/1/2010,Claims,Non-labor Expense,2010,45.335
MTA Bus,MTA Bus Company,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",0,0,1/1/2010,Paratransit Service Contracts,Non-labor Expense,2010,0
MTA Bus,MTA Bus Company,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",18.923,18.923,1/1/2010,Maintenance and Other Operating Contracts,Non-labor Expense,2010,18.923
MTA Bus,MTA Bus Company,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",3.221,3.221,1/1/2010,Professional Service Contracts,Non-labor Expense,2010,3.221
MTA Bus,MTA Bus Company,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",23.727,23.727,1/1/2010,Materials and Supplies,Non-labor Expense,2010,23.727
MTA Bus,MTA Bus Company,,"Non-labor expenses include fuel, materials, and service contracts required to operate the agency.",2.678,2.678,1/1/2010,Other Business Expenses,Non-labor Expense,2010,2.678
New York City Transit,Staten Island Railway,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",18.934,18.934,1/1/2010,Payroll,Labor Expense,2010,18.934
New York City Transit,Staten Island Railway,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",1.092,1.092,1/1/2010,Overtime,Labor Expense,2010,1.092
New York City Transit,Staten Island Railway,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",2.697,2.697,1/1/2010,Health and Welfare,Labor Expense,2010,2.697
New York City Transit,Staten Island Railway,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",0.545,0.545,1/1/2010,OPEB Current Payment,Labor Expense,2010,0.545
New York City Transit,Staten Island Railway,,"Labor expenses include salaries, wages, and fringe benefits such as healthcare and pension contributions.",3.85,3.85,1/1/2010,Pensions,Labor Expense,2010,3.85
